video_id,title,channel_title,category_id,year,views,likes,dislikes,comment_count
Pa8an1GDZcM,Gala Montes y Alejandra zapien...Partido verde,Gala Montes,22,2012,7350,79,5,8
mfDVl0L59PY,NÃ¡ufrago.,HiClavero,22,2015,75596,1583,182,97
ygTnH090gaM,Un Vampiro mentiroso,johanderson cervante,22,2017,2587,103,2,6
JZYR2n5IWAc,Arctic Monkeys - Cornerstone (Live Session for KEXP),Official Arctic Monkeys,10,2009,262528,3109,13,147
qneEyNuUiu8,Grupo Niche - Cali pachanguero,Grupo NICHE Colombia,10,2013,51805,111,3,2
3fHVjt4dfio,Diego Verdaguer - VolverÃ© (1976),TuCanalMiCanal,10,2014,57510,200,12,14
10d1Z9woNqg,Cartoon Network Bumper- Bob: Animate your World,squirrelranchfilms,22,2010,45873,271,28,0
g-Jh8af_QmE,Lucian - Infrared (Feat. Jordan Corey),SyrebralVibes,10,2016,34468,289,9,5
PQAepY8SOMo,ExatlÃ³n MÃ©xico / Esperada eliminaciÃ³n de NANO ILIANOVICH / La producciÃ³n calla bocas,Realitys del Momento,22,2018,22339,136,55,426
